"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","A","Articulation agreement course","Articulation agreement course","29"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","B","Basic or remedial course","Basic or remedial course","24"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","C","Industry/occupational certification course","Industry/occupational certification course","42"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","D","Dual/concurrent enrollment course","Dual/concurrent enrollment course","33"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","E","Enriched, honors, advanced course","Enriched, honors, advanced course","33"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","G","General or regular course","General or regular course","25"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","N","No credit","No credit","9"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","P","Pre-School/Early Education","Pre-School/Early Education","26"
"Core","uri://education.mn.gov/CourseLevelTypeDescriptor","courseLevelTypeDescriptor","X","Not applicable","Not applicable","14"
