"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","H","HEXMESTER","HEXMESTER","9"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","NS","NON-SCHEDULED","NON-SCHEDULED","13"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","OT","OTHER_TERM","OTHER_TERM","10"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Q","QUARTER","QUARTER","7"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","QM","QUINMESTER","QUINMESTER","10"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","S","SEMESTER","SEMESTER","8"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","SU","SUMMER","SUMMER","6"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","T","TRIMESTER","TRIMESTER ","9"
"Core","uri://education.mn.gov/TermDescriptor","TermDescriptor","Y","YEAR","YEAR","4"
