"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/RaceDescriptor","RaceDescriptor","American Indian - Alaska Native","American Indian - Alaska Native","American Indian - Alaska Native","31"
"Core","uri://education.mn.gov/RaceDescriptor","RaceDescriptor","Asian","Asian","Asian","5"
"Core","uri://education.mn.gov/RaceDescriptor","RaceDescriptor","Black - African American","Black - African American","Black - African American","24"
"Core","uri://education.mn.gov/RaceDescriptor","RaceDescriptor","Choose Not to Respond","Choose Not to Respond","Choose Not to Respond","21"
"Core","uri://education.mn.gov/RaceDescriptor","RaceDescriptor","Native Hawaiian - Pacific Islander","Native Hawaiian - Pacific Islander","Native Hawaiian - Pacific Islander","34"
"Core","uri://education.mn.gov/RaceDescriptor","RaceDescriptor","Other","Other","Other","5"
"Core","uri://education.mn.gov/RaceDescriptor","RaceDescriptor","White","White","White","5"
