"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/HomelessPrimaryNighttimeResidenceDescriptor","HomelessPrimaryNighttimeResidenceDescriptor","DU","Doubled Up","Doubled Up","10"
"Extension","uri://education.mn.gov/HomelessPrimaryNighttimeResidenceDescriptor","HomelessPrimaryNighttimeResidenceDescriptor","HM","Hotels, Motels","Hotels, Motels","14"
"Extension","uri://education.mn.gov/HomelessPrimaryNighttimeResidenceDescriptor","HomelessPrimaryNighttimeResidenceDescriptor","SHR","Shelters","Shelters","8"
"Extension","uri://education.mn.gov/HomelessPrimaryNighttimeResidenceDescriptor","HomelessPrimaryNighttimeResidenceDescriptor","TH","Transitional Housing","Transitional Housing","20"
"Extension","uri://education.mn.gov/HomelessPrimaryNighttimeResidenceDescriptor","HomelessPrimaryNighttimeResidenceDescriptor","UNS","Unsheltered","Unsheltered","11"
