"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","AG","Agender","Agender","7"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","BM","Boy/Man","Boy/Man","7"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","GF","Genderfluid","Genderfluid","11"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","GN","Gender Non-conforming","Gender Non-conforming","21"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","GQ","Genderqueer","Genderqueer","11"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","GW","Girl/Woman","Girl/Woman","10"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","NB","Nonbinary","Nonbinary","9"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","NOT","None of these","None of these","13"
"Extension","uri://education.mn.gov/GenderIdentityDescriptor","GenderIdentityDescriptor","TS","Two Spirit","Two Spirit","10"
