"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/PreferredPronounDescriptor","PreferredPronounDescriptor","HH","He/Him","He/Him","6"
"Extension","uri://education.mn.gov/PreferredPronounDescriptor","PreferredPronounDescriptor","N","None","None","4"
"Extension","uri://education.mn.gov/PreferredPronounDescriptor","PreferredPronounDescriptor","O","Other","Other","5"
"Extension","uri://education.mn.gov/PreferredPronounDescriptor","PreferredPronounDescriptor","SH","She/Her","She/Her","7"
"Extension","uri://education.mn.gov/PreferredPronounDescriptor","PreferredPronounDescriptor","TT","They/Them","They/Them","9"
