"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/GiftedTalentedParticipationDescriptor","GiftedTalentedParticipationDescriptor","AA","Advanced Academics","Advanced Academics","18"
"Extension","uri://education.mn.gov/GiftedTalentedParticipationDescriptor","GiftedTalentedParticipationDescriptor","EIS","Enrichment In School","Enrichment In School","20"
"Extension","uri://education.mn.gov/GiftedTalentedParticipationDescriptor","GiftedTalentedParticipationDescriptor","EOS","Enrichment Out of School ","Enrichment Out of School ","24"
"Extension","uri://education.mn.gov/GiftedTalentedParticipationDescriptor","GiftedTalentedParticipationDescriptor","FTS","Full-time Services","Full-time Services","18"
"Extension","uri://education.mn.gov/GiftedTalentedParticipationDescriptor","GiftedTalentedParticipationDescriptor","GA","Grade Acceleration ","Grade Acceleration ","18"
"Extension","uri://education.mn.gov/GiftedTalentedParticipationDescriptor","GiftedTalentedParticipationDescriptor","SA","Subject Acceleration","Subject Acceleration","20"
