"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/StandardAddressedDescriptor","StandardAddressedDescriptor","Combination","Combination","Combination","11"
"Core","uri://education.mn.gov/StandardAddressedDescriptor","StandardAddressedDescriptor","Local","Local","Local","5"
"Core","uri://education.mn.gov/StandardAddressedDescriptor","StandardAddressedDescriptor","National","National","National","8"
"Core","uri://education.mn.gov/StandardAddressedDescriptor","StandardAddressedDescriptor","None","None Addressed","None Addressed","14"
"Core","uri://education.mn.gov/StandardAddressedDescriptor","StandardAddressedDescriptor","State","State","State","5"
