"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/SectionCharacteristicDescriptor","SectionCharacteristicDescriptor","FP","fixedPeriodIndicator","fixedPeriodIndicator","20"
"Core","uri://education.mn.gov/SectionCharacteristicDescriptor","SectionCharacteristicDescriptor","MA","markingIndicator","markingIndicator","16"
"Core","uri://education.mn.gov/SectionCharacteristicDescriptor","SectionCharacteristicDescriptor","VI","Virtual Indicator","Virtual Indicator","17"
