"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Correspondence language","Correspondence language","Correspondence language","23"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Dominant language","Dominant language","Dominant language","17"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Home language","Home language","Home language","13"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Native language","Native language","Native language","15"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Other","Other","Other","5"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Other language proficiency","Other language proficiency","Other language proficiency","26"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Spoken language","Spoken language","Spoken language","15"
"Core","uri://ed-fi.org/LanguageUseDescriptor","LanguageUseDescriptor","Written language","Written language","Written language","16"
