"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/AcademicHonorCategoryDescriptor","AcademicHonorCategoryDescriptor","bilingualOrMultilingual","Bilingual or Multilingual Seals","Bilingual or Multilingual Seals","31"
"Core","uri://education.mn.gov/AcademicHonorCategoryDescriptor","AcademicHonorCategoryDescriptor","worldLanguages","World Languages Proficiency Certificate","World Languages Proficiency Certificate","39"
