"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/CrisisEventDescriptor","CrisisEventDescriptor","1","Displaced by Hurricanes, Tropical Storms, or Flooding in 20-21","Displaced by Hurricanes, Tropical Storms, or Flooding in 20-21","62"
"Core","uri://education.mn.gov/CrisisEventDescriptor","CrisisEventDescriptor","2","Displaced by Wildfires in 20-21","Displaced by Wildfires in 20-21","31"
"Core","uri://education.mn.gov/CrisisEventDescriptor","CrisisEventDescriptor","3","Displaced by Afghan Evacuation US Operation Allies Welcome","Displaced by Afghan Evacuation US Operation Allies Welcome","58"
"Core","uri://education.mn.gov/CrisisEventDescriptor","CrisisEventDescriptor","4","Displaced by War in Ukraine","Displaced by War in Ukraine","27"
