"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/mcamtas/OperationalPassageDescriptor","OperationalPassageDescriptor","1","Read Aloud to student","Read Aloud to student","21"
"Core","uri://education.mn.gov/mcamtas/OperationalPassageDescriptor","OperationalPassageDescriptor","2","Read Along with TA","Read Along with TA","18"
"Core","uri://education.mn.gov/mcamtas/OperationalPassageDescriptor","OperationalPassageDescriptor","3","Read independently","Read independently","18"
