"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","17","SAT","SAT","3"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","18","SAT with Essay","SAT with Essay","14"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","7","ACT","ACT","3"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","8","ACT with Writing","ACT with Writing","16"
