"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Content-Based ELD Instruction","Content-Based ELD Instruction","Content-Based ELD Instruction","29"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Developmental Bilingual","Developmental Bilingual","Developmental Bilingual","23"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Dual Language","Dual Language","Dual Language","13"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Heritage Language","Heritage Language","Heritage Language","17"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Newcomer Program","Newcomer Program","Newcomer Program","16"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Other","Other","Other","5"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Transitional Bilingual","Transitional Bilingual","Transitional Bilingual","22"
"Core","uri://education.mn.gov/LanguageInstructionProgramServiceDescriptor","LanguageInstructionProgramServiceDescriptor","Two-Way Immersion","Two-Way Immersion","Two-Way Immersion","17"
